<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20220920;000000;26;26.285;25.73;25.82;9994300
20220921;000000;25.775;25.885;22.58;23.265;72329000
20220922;000000;21.8;22.56;20.34;21.7;63153300
20220923;000000;21.71;22.38;21.4;22;27912200
20220924;000000;22.035;22.035;20.55;20.8;23064800
20220927;000000;20.495;20.495;16.565;17.35;91061200
20220928;000000;17.745;18.275;17.15;18.145;48971800
20220929;000000;18;18.875;17.86;18.25;33477700
20220930;000000;18.41;18.41;17.01;17.945;23232100
20221001;000000;17.985;18.39;16.92;18.005;40068800
20221004;000000;18.15;19.18;17.85;19.055;32934700
20221005;000000;19.205;19.285;18.4;18.86;28984600
20221006;000000;18.85;19.565;18.07;18.86;44088800
20221007;000000;18.995;19.25;18.5;18.57;16579300
20221008;000000;18.505;18.52;17.515;17.6;21003700
20221011;000000;17.015;18.53;16.815;18.41;28536900
20221012;000000;18.48;18.72;18.2;18.635;12507300
20221013;000000;18.725;18.82;18.415;18.555;6646400
20221014;000000;18.52;18.99;18.38;18.79;10970300
20221015;000000;18.855;18.915;18.435;18.73;8226200
20221018;000000;18.755;19.68;18.625;19.55;15867000
20221019;000000;19.67;19.83;18.87;19.015;17056300
20221020;000000;18.99;19.095;18.51;18.98;13512300
20221021;000000;19.035;19.33;18.905;19.17;10640800
20221022;000000;19.125;19.7;18.795;19.605;15465700
20221025;000000;19.675;19.92;19.45;19.645;9800600
20221026;000000;19.67;20.82;19.61;20.77;32249000
20221027;000000;20.79;20.99;20.335;20.99;20126500
20221028;000000;21;21.3;20.63;21.03;22651600
20221029;000000;20.975;21.795;20.76;21.535;27925500
20221101;000000;21.62;21.94;21.39;21.71;16803600
20221102;000000;21.795;22.5;21.7;22.275;18836700
20221103;000000;22.28;22.35;21.32;21.635;19830700
20221104;000000;21.695;21.8;21.145;21.57;14943400
20221108;000000;21.82;22.34;21.49;22.29;21287400
20221109;000000;22.29;22.295;21.715;22.025;20852600
20221110;000000;22.005;22.255;21.055;21.3;14914100
20221111;000000;21.315;21.94;21.315;21.725;17177500
20221112;000000;21.85;22.2;21.525;21.885;19771400
20221115;000000;21.94;22.28;21.805;22.075;14948600
20221116;000000;22.08;22.28;20.55;21.275;25562200
20221117;000000;21.37;21.895;21.18;21.7;10217300
20221118;000000;21.72;21.8;21.52;21.59;5962900
20221119;000000;21.62;22.14;21.375;21.79;10794400
20221122;000000;21.77;21.955;21.03;21.355;15834900
20221123;000000;21.4;21.62;21.19;21.4;8003300
20221124;000000;21.495;21.57;21.155;21.48;7436700
20221125;000000;21.49;22.175;21.375;22.06;26250900
20221126;000000;22.1;22.125;21.63;21.71;13525600
20221129;000000;21.615;21.925;21.47;21.7;8798700
20221130;000000;21.79;21.975;21.67;21.83;9855700
20221201;000000;21.835;21.835;21.52;21.745;8689800
20221202;000000;21.745;21.9;21.6;21.785;8854600
20221203;000000;21.755;23.365;21.6;23.08;75155300
20221206;000000;23.175;23.7;22.645;22.89;44850300
20221207;000000;22.92;23.02;22.455;22.61;16280200
20221208;000000;22.595;22.725;22.255;22.57;11221500
20221209;000000;22.62;23.01;22.535;22.8;18495600
20221210;000000;22.755;22.8;22.35;22.51;12329100
20221213;000000;22.54;22.69;22.07;22.465;16840800
20221214;000000;22.525;22.695;22.4;22.565;11983800
20221215;000000;22.575;22.695;22.2;22.365;12475000
20221216;000000;22.36;22.455;21.69;21.905;18409300
20221217;000000;21.93;22.04;21.7;21.84;9461000
20221220;000000;21.865;22.52;21.505;21.54;31109500
20221221;000000;21.52;22.48;21.505;22.38;20129900
20221222;000000;22.445;22.69;22.175;22.57;16712800
20221223;000000;22.65;22.795;22.28;22.41;19416100
20221224;000000;22.37;22.4;21.915;21.99;23626200
20221227;000000;22.03;22.13;21.915;22.075;10815800
20221228;000000;22.085;22.18;21.995;22.05;12190800
20221229;000000;22.05;22.13;21.45;21.55;18329500
20221230;000000;21.625;21.86;21.45;21.785;8119300
20221231;000000;21.81;21.85;21.585;21.645;7519800
20230104;000000;21.7;22.11;21.66;21.905;7488600
20230105;000000;21.95;21.97;21.705;21.8;5388900
20230106;000000;21.825;21.87;21.65;21.725;4745200
20230107;000000;21.715;21.885;21.605;21.685;7240400
20230110;000000;21.76;21.85;21.35;21.62;14740400
20230111;000000;21.62;21.625;21.13;21.47;15433600
20230112;000000;21.465;21.845;21.33;21.805;17875600
20230113;000000;21.82;21.87;21.6;21.675;8766800
20230114;000000;21.675;21.775;21.605;21.73;8716800
20230117;000000;21.77;22.5;21.76;22.355;28732400
20230118;000000;22.325;22.745;21.93;22.04;32712600
20230119;000000;22.09;22.35;21.92;22.065;14104800
20230120;000000;22.075;22.145;21.625;21.775;11483300
20230121;000000;21.79;21.89;21.645;21.73;5713700
20230124;000000;21.78;21.95;21.75;21.945;10480900
20230125;000000;21.95;22.09;21.68;21.695;11232500
20230126;000000;21.695;21.825;21.59;21.685;7459900
20230127;000000;21.75;21.85;21.645;21.71;5911700
20230128;000000;21.7;23.3;21.67;23.285;113113200
20230131;000000;23.495;23.725;22.9;23.16;52783700
20230201;000000;23.16;23.44;23;23.17;23578500
20230202;000000;23.18;23.25;22.72;22.91;22699900
20230203;000000;22.96;23.68;22.9;23.18;39541100
20230204;000000;23.23;23.34;23.005;23.125;14077300
20230207;000000;23.15;23.55;23.125;23.41;23524800
20230208;000000;23.52;23.985;23.405;23.615;28612500
20230209;000000;23.645;23.81;22.97;23.115;24621700
20230210;000000;23.15;23.36;22.895;23.095;19219000
20230211;000000;23.055;23.295;22.905;23.105;13366500
20230214;000000;23.135;23.29;23.09;23.135;7794400
20230215;000000;23.105;23.16;22.47;22.64;19252700
20230216;000000;22.555;22.57;21.2;21.665;28783300
20230217;000000;21.88;22.065;21.21;21.55;21440600
20230218;000000;21.47;21.89;21.4;21.6;18622300
20230221;000000;21.64;22.45;21.38;22.19;24832100
20230222;000000;22.17;22.545;22.1;22.38;22239400
20230223;000000;22.375;22.7;22.12;22.27;16713900
20230225;000000;22.265;22.425;22.08;22.095;8858400
20230228;000000;22.08;22.54;21.98;22.48;12317000
20230301;000000;22.51;22.93;22.495;22.73;23675300
20230302;000000;22.815;22.965;22.77;22.9;12267600
20230303;000000;22.86;22.935;22.2;22.33;26767500
20230304;000000;22.28;22.69;22.275;22.525;12594100
20230307;000000;22.635;22.815;22.53;22.73;17217500
