<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20230408,000000,37.12,50.14,37.04,48,127733100
20230411,000000,48.4,51.42,45.59,46.13,41857800
20230412,000000,46.2,46.34,43.21,44.51,10948800
20230413,000000,44.57,46.42,44.05,45.39,8460500
20230414,000000,45.54,45.69,43.63,44.19,4228600
20230415,000000,44.04,44.19,43.31,43.83,1790200
20230418,000000,44.1,46.97,43.85,45.8,6729300
20230419,000000,46.02,46.04,43.89,45.43,9229200
20230420,000000,45.75,49.76,45.5,47.8,31220900
20230421,000000,48,48.73,46.56,47.41,4403700
20230422,000000,47.56,48.72,46.6,48.38,3696400
20230425,000000,48.38,50.65,47.39,49.17,13693200
20230426,000000,49.47,50.59,49,49.95,7160100
20230427,000000,50.09,51.2,47.7,49.62,6780800
20230428,000000,49.8,49.85,48.47,49.45,3476600
20230429,000000,49.52,49.71,48.09,48.37,2414700
20230503,000000,48.58,49,44.1,46.95,3440500
20230504,000000,46.97,47.15,44.2,46.38,4175800
20230505,000000,46.2,47.18,45.56,46.3,3005100
20230506,000000,46.3,46.31,44.94,45.42,1568600
20230509,000000,45.19,46.25,44.74,45.08,1156900
20230511,000000,45.24,48.29,44.2,48.05,3257000
20230512,000000,48.2,49.49,45.9,47.52,5340500
20230513,000000,47.72,48.24,46.5,47.38,1762500
20230516,000000,47.45,49.4,47.45,48.61,4503700
20230517,000000,48.84,48.91,47.06,48.33,1836100
20230518,000000,48.19,49.17,47.55,49.17,3890700
20230519,000000,49.22,49.38,47.76,48.81,2880900
20230520,000000,48.48,48.48,47.58,48.06,2538600
20230523,000000,48.49,48.84,47.77,48.16,2071900
20230524,000000,48.29,54.45,48.2,54.3,21900800
20230525,000000,54.8,56.75,52.1,54.38,18760500
20230526,000000,54.2,54.99,52.53,53.55,6233200
20230527,000000,53.99,55.37,53.03,54.4,8240100
20230530,000000,55.1,57.29,54.64,56.92,11029500
20230531,000000,55.21,59.9,54.1,55.85,20474800
20230601,000000,55.7,62.18,54.73,61.57,30684700
20230602,000000,61.7,64.5,61.7,62.5,24213000
20230603,000000,62.61,65.45,62.12,63.93,15574100
20230606,000000,65.31,65.35,59.12,60.44,14465700
20230607,000000,60.15,63.5,57.33,63.39,12229100
20230608,000000,63.49,64.5,61.6,62.62,4713900
20230609,000000,62.94,63.17,60.55,61.69,4097400
20230610,000000,61.82,62.25,61.01,61.18,2318200
20230614,000000,61.78,64.86,61.5,64.86,6264200
20230615,000000,64.85,66,63.5,64.95,6246000
20230616,000000,65.05,65.21,63.02,63.85,4317600
20230617,000000,63.9,64.8,63.06,63.17,3378800
20230620,000000,63.38,63.8,62.25,62.91,2511800
20230621,000000,63.14,63.14,61,62.32,3781400
20230622,000000,62.83,65.47,62.4,65.27,6701700
20230623,000000,65.55,69.08,65.55,67.02,18833200
20230624,000000,67.01,68.25,63.1,65.36,7651600
20230627,000000,66.76,67.5,62.5,65.28,7330800
20230628,000000,65.89,67.72,64.4,66.9,3767900
20230629,000000,67.15,67.47,66.09,66.6,2503700
20230630,000000,66.81,67.27,65.8,67.15,2849300
20230701,000000,67.4,68.16,66.07,66.25,2944400
20230704,000000,66.49,67.07,64.65,65.71,3048500
20230705,000000,65.83,66.4,64.78,65.31,2498300
20230706,000000,65.45,67,65.44,66.94,2140300
20230707,000000,66.94,67,65.86,66.04,1474600
20230708,000000,66.12,66.18,65.29,65.62,1223300
20230711,000000,65.74,67.4,65.4,66.87,3705900
20230712,000000,67.07,69.21,66.8,68.76,8811400
20230713,000000,69,69.91,68.3,69.08,6570800
20230714,000000,69.31,69.38,67.7,68.38,2699400
20230715,000000,68.34,68.89,67.9,68.72,2177600
20230718,000000,68.35,72,68.01,71.41,10190800
20230719,000000,71.41,72.28,70.97,71.2,4589700
20230720,000000,71.43,71.92,70.12,70.84,2763000
20230721,000000,70.98,71.5,69.54,70.13,3572000
20230722,000000,70.48,74.6,70.13,73.5,10417700
20230725,000000,73.81,79.36,73.52,77.89,13618900
20230726,000000,78.46,79.12,76.66,78.5,6112700
20230727,000000,78.85,78.91,76.55,77.59,4675200
20230728,000000,78.06,79.1,77.59,78.5,4713500
